Date,MarketCap
1/3/09,0
1/6/09,0
1/9/09,0
1/12/09,0
1/15/09,0
1/18/09,0
1/21/09,0
1/24/09,0
1/27/09,0
1/30/09,0
2/2/09,0
2/5/09,0
2/8/09,0
2/11/09,0
2/14/09,0
2/17/09,0
2/20/09,0
2/23/09,0
2/26/09,0
3/1/09,0
3/4/09,0
3/7/09,0
3/10/09,0
3/13/09,0
3/16/09,0
3/19/09,0
3/22/09,0
3/25/09,0
3/28/09,0
3/31/09,0
4/3/09,0
4/6/09,0
4/9/09,0
4/12/09,0
4/15/09,0
4/18/09,0
4/21/09,0
4/24/09,0
4/27/09,0
4/30/09,0
5/3/09,0
5/6/09,0
5/9/09,0
5/12/09,0
5/15/09,0
5/18/09,0
5/21/09,0
5/24/09,0
5/27/09,0
5/30/09,0
6/2/09,0
6/5/09,0
6/8/09,0
6/11/09,0
6/14/09,0
6/17/09,0
6/20/09,0
6/23/09,0
6/26/09,0
6/29/09,0
7/2/09,0
7/5/09,0
7/8/09,0
7/11/09,0
7/14/09,0
7/17/09,0
7/20/09,0
7/23/09,0
7/26/09,0
7/29/09,0
8/1/09,0
8/4/09,0
8/7/09,0
8/10/09,0
8/13/09,0
8/16/09,0
8/19/09,0
8/22/09,0
8/25/09,0
8/28/09,0
8/31/09,0
9/3/09,0
9/6/09,0
9/9/09,0
9/12/09,0
9/15/09,0
9/18/09,0
9/21/09,0
9/24/09,0
9/27/09,0
9/30/09,0
10/3/09,0
10/6/09,0
10/9/09,0
10/12/09,0
10/15/09,0
10/18/09,0
10/21/09,0
10/24/09,0
10/27/09,0
10/30/09,0
11/2/09,0
11/5/09,0
11/8/09,0
11/11/09,0
11/14/09,0
11/17/09,0
11/20/09,0
11/23/09,0
11/26/09,0
11/29/09,0
12/2/09,0
12/5/09,0
12/8/09,0
12/11/09,0
12/14/09,0
12/17/09,0
12/20/09,0
12/23/09,0
12/26/09,0
12/29/09,0
1/1/10,0
1/4/10,0
1/7/10,0
1/10/10,0
1/13/10,0
1/16/10,0
1/19/10,0
1/22/10,0
1/25/10,0
1/28/10,0
1/31/10,0
2/3/10,0
2/6/10,0
2/9/10,0
2/12/10,0
2/15/10,0
2/18/10,0
2/21/10,0
2/24/10,0
2/27/10,0
3/2/10,0
3/5/10,0
3/8/10,0
3/11/10,0
3/14/10,0
3/17/10,0
3/20/10,0
3/23/10,0
3/26/10,0
3/29/10,0
4/1/10,0
4/4/10,0
4/7/10,0
4/10/10,0
4/13/10,0
4/16/10,0
4/19/10,0
4/22/10,0
4/25/10,0
4/28/10,0
5/1/10,0
5/4/10,0
5/7/10,0
5/10/10,0
5/13/10,0
5/16/10,0
5/19/10,0
5/22/10,0
5/25/10,0
5/28/10,0
5/31/10,0
6/3/10,0
6/6/10,0
6/9/10,0
6/12/10,0
6/15/10,0
6/18/10,0
6/21/10,0
6/24/10,0
6/27/10,0
6/30/10,0
7/3/10,0
7/6/10,0
7/9/10,0
7/12/10,0
7/15/10,0
7/18/10,0
7/21/10,0
7/24/10,0
7/27/10,0
7/30/10,0
8/2/10,0
8/5/10,0
8/8/10,0
8/11/10,0
8/14/10,0
8/17/10,287932.825
8/20/10,251208.875
8/23/10,250552.5
8/26/10,254574.7968
8/29/10,249739.2
9/1/10,251747.1
9/4/10,239284.55
9/7/10,242922.06
9/10/10,245020.113
9/13/10,246598.2675
9/16/10,247934.26
9/19/10,252809.1915
9/22/10,255382.48
9/25/10,255815.04
9/28/10,259127.1265
10/1/10,257658.5442
10/4/10,258853.1
10/7/10,267797.31
10/10/10,506574
10/13/10,403384.25
10/16/10,466187.55
10/19/10,441984
10/22/10,465155.75
10/25/10,656385
10/28/10,837820.5935
10/31/10,883997.8
11/3/10,1229263.75
11/6/10,1305188.5
11/9/10,1528432.08
11/12/10,1146542.9
11/15/10,1301389.04
11/18/10,1344580.364
11/21/10,1350617
11/24/10,1324888.433
11/27/10,1339135.351
11/30/10,1302963.75
12/3/10,1216798.095
12/6/10,1080225
12/9/10,1155003.96
12/12/10,1108422
12/15/10,1205914.16
12/18/10,1223100.45
12/21/10,1329048.965
12/24/10,1240400
12/27/10,1321051.5
12/30/10,1503039.99
1/2/11,1510854.855
1/5/11,1512645.832
1/8/11,1641355.114
1/11/11,1680285.25
1/14/11,2310097.5
1/17/11,2063780
1/20/11,1905303.75
1/23/11,2314847.43
1/26/11,2225576.25
1/29/11,2346093.8
2/1/11,5020702.5
2/4/11,4672800
2/7/11,4835608.47
2/10/11,5901940
2/13/11,5826222
2/16/11,5698435.959
2/19/11,5566854
2/22/11,4770941.013
2/25/11,5520950
2/28/11,5273357.897
3/3/11,5244730
3/6/11,5113241.209
3/9/11,4989216.271
3/12/11,5210146.485
3/15/11,5112876.605
3/18/11,4850600.912
3/21/11,4510573.77
3/24/11,5168880
3/27/11,5165182.8
3/30/11,4602771.75
4/2/11,4636731.612
4/5/11,4150234
4/8/11,4688731.75
4/11/11,4601886.3
4/14/11,5563719
4/17/11,6447992.25
4/20/11,7145353.71
4/23/11,9278974.7
4/26/11,10409842.5
4/29/11,16320960
5/2/11,21224261.25
5/5/11,21363300
5/8/11,23926500
5/11/11,37401642
5/14/11,55157305
5/17/11,52289118.78
5/20/11,44498895
5/23/11,46969642.5
5/26/11,59244567
5/29/11,54192599.04
6/1/11,60104747.75
6/4/11,111958487
6/7/11,123166673
6/10/11,227258500
6/13/11,159956825
6/16/11,131022430
6/19/11,124477963.4
6/22/11,99795797.5
6/25/11,117258240
6/28/11,117135216
7/1/11,114115900
7/4/11,106791752.5
7/7/11,109846750
7/10/11,106345680
7/13/11,96305607.5
7/16/11,96299475
7/19/11,100754535
7/22/11,95845270.29
7/25/11,101705310
7/28/11,96961200
7/31/11,103552070
8/3/11,91358090
8/6/11,76930150
8/9/11,84859720
8/12/11,69613745.65
8/15/11,83881572
8/18/11,82575753
8/21/11,82255968.5
8/24/11,81179400
8/27/11,65060431.5
8/30/11,65528572.52
9/2/11,61050573.32
9/5/11,61000078.15
9/8/11,52855548.55
9/11/11,53624840
9/14/11,43532325.01
9/17/11,36597071.7
9/20/11,49662956.25
9/23/11,41830862.19
9/26/11,40134759.07
9/29/11,35445455.85
10/2/11,38133174
10/5/11,37235250
10/8/11,34131123
10/11/11,30830033.47
10/14/11,30711001.2
10/17/11,28135216.69
10/20/11,18152299
10/23/11,25259808
10/26/11,21673248.4
10/29/11,28905466.86
11/1/11,25365195
11/4/11,24439088.13
11/7/11,23062650.38
11/10/11,22909950
11/13/11,23728578.15
11/16/11,19965270
11/19/11,17708160
11/22/11,18139885
11/25/11,19808640
11/28/11,19692406.44
12/1/11,24427630
12/4/11,23327083
12/7/11,24116650
12/10/11,23858224
12/13/11,25966050
12/16/11,25478401.5
12/19/11,29270772.69
12/22/11,31663067.48
12/25/11,34918088.14
12/28/11,33421397.97
12/31/11,39960249.75
1/3/12,42442728
1/6/12,58097535
1/9/12,58117680
1/12/12,56641414.7
1/15/12,56735651.83
1/18/12,56570220
1/21/12,53462737.5
1/24/12,53319085.75
1/27/12,46679667.25
1/30/12,46084920
2/2/12,51163950
2/5/12,49341178.13
2/8/12,48528962.16
2/11/12,49907100
2/14/12,46704000
2/17/12,39880133.29
2/20/12,37898166
2/23/12,41403862.63
2/26/12,42158154.19
2/29/12,41429990
3/3/12,40512466.23
3/6/12,42904800
3/9/12,42170920.55
3/12/12,42367506.2
3/15/12,46675162.5
3/18/12,46202192.24
3/21/12,41936544
3/24/12,41002995.54
3/27/12,41036313
3/30/12,41923675.5
4/2/12,44205398
4/5/12,43125360.28
4/8/12,41958240
4/11/12,42887732.42
4/14/12,44178490
4/17/12,44207273.38
4/20/12,45621372.5
4/23/12,46160687.64
4/26/12,45932096
4/29/12,44611568.64
5/2/12,46168339.83
5/5/12,46029063.22
5/8/12,45721500
5/11/12,45219241.21
5/14/12,45360007.4
5/17/12,46339889.4
5/20/12,46591020
5/23/12,46776948
5/26/12,46776605.4
5/29/12,46979431.79
6/1/12,48101134.5
6/4/12,48301442.1
6/7/12,50712817.35
6/10/12,51683768
6/13/12,54946432
6/16/12,60990927.55
6/19/12,60544348.1
6/22/12,63151470.75
6/25/12,60051019.4
6/28/12,62238162.53
7/1/12,62612329
7/4/12,61417712.5
7/7/12,63448312.5
7/10/12,68214906.75
7/13/12,74621030
7/16/12,78488773.2
7/19/12,88033272.01
7/22/12,85616550
7/25/12,83632283.28
7/28/12,85388660
7/31/12,90483816
8/3/12,106835545.7
8/6/12,108737437.5
8/9/12,115851000
8/12/12,113871082
8/15/12,122938910.5
8/18/12,148410965.6
8/21/12,100443442.5
8/24/12,100196825
8/27/12,119046817
8/30/12,107421026.6
9/2/12,100317904.1
9/5/12,104404553.6
9/8/12,110912300.5
9/11/12,111008758.4
9/14/12,116785600
9/17/12,119178200.6
9/20/12,126682643.4
9/23/12,122868066.5
9/26/12,123194188
9/29/12,125597566.5
10/2/12,129800132
10/5/12,131173669.5
10/8/12,122253224
10/11/12,123629761
10/14/12,121963800
10/17/12,122131938.5
10/20/12,120973687.5
10/23/12,122781600
10/26/12,113824274.5
10/29/12,112563810
11/1/12,116184415.1
11/4/12,110253378
11/7/12,116037120.8
11/10/12,113633767.3
11/13/12,115624189.1
11/16/12,122843900
11/19/12,123093261.4
11/22/12,128383102
11/25/12,132010830
11/28/12,130281273.7
12/1/12,133372357.4
12/4/12,136438412.7
12/7/12,144075708
12/10/12,142844438.8
12/13/12,145620234.2
12/16/12,144317034.6
12/19/12,141635134.4
12/22/12,143780629.4
12/25/12,142430120
12/28/12,144711121.1
12/31/12,144233048.3
1/3/13,143057356.2
1/6/13,143904635.4
1/9/13,147781535.1
1/12/13,152924255.9
1/15/13,154444852.5
1/18/13,170657458.5
1/21/13,181458043.5
1/24/13,205271964.8
1/27/13,192741192.9
1/30/13,211168732.5
2/2/13,226441507.5
2/5/13,223381273.5
2/8/13,238245400
2/11/13,260524441.4
2/14/13,285978776.5
2/17/13,276386540.7
2/20/13,322132443.9
2/23/13,316761071.6
2/26/13,337705984.8
3/1/13,378234362.6
3/4/13,394631048.8
3/7/13,461811834.6
3/10/13,505945575
3/13/13,509745491.1
3/16/13,513747505.3
3/19/13,630724760
3/22/13,781897187.5
3/25/13,809051214.6
3/28/13,1025609049
3/31/13,1015081235
4/3/13,1525041869
4/6/13,1567463463
4/9/13,2620841076
4/12/13,843312707.4
4/15/13,1004410225
4/18/13,1066353950
4/21/13,1382675000
4/24/13,1696508264
4/27/13,1419014511
4/30/13,1543897759
5/3/13,1034828966
5/6/13,1345090886
5/9/13,1219822579
5/12/13,1274287886
5/15/13,1283062886
5/18/13,1382268379
5/21/13,1369657188
5/24/13,1471892650
5/27/13,1485990856
5/30/13,1469538093
6/2/13,1354720652
6/5/13,1376864587
6/8/13,1213946580
6/11/13,1217610900
6/14/13,1128830000
6/17/13,1136058016
6/20/13,1266565451
6/23/13,1219485057
6/26/13,1183612922
6/29/13,1087840603
7/2/13,1017368595
7/5/13,771818503.6
7/8/13,884162379
7/11/13,993690836.3
7/14/13,1081481238
7/17/13,1119468901
7/20/13,1051064818
7/23/13,1092556079
7/26/13,1105124841
7/29/13,1159687050
8/1/13,1197299385
8/4/13,1204281158
8/7/13,1216398480
8/10/13,1183611635
8/13/13,1239304284
8/16/13,1139007099
8/19/13,1181603148
8/22/13,1286747438
8/25/13,1310190388
8/28/13,1385377931
8/31/13,1544227650
9/3/13,1519566392
9/6/13,1427873853
9/9/13,1420313587
9/12/13,1501493796
9/15/13,1468452843
9/18/13,1490750729
9/21/13,1448821725
9/24/13,1440070860
9/27/13,1477191020
9/30/13,1481125170
10/3/13,1378615371
10/6/13,1435226560
10/9/13,1489654112
10/12/13,1508600194
10/15/13,1649680710
10/18/13,1786302345
10/21/13,2103224180
10/24/13,2328734577
10/27/13,2251714053
10/30/13,2425090157
11/2/13,2437295813
11/5/13,2947943727
11/8/13,3895040535
11/11/13,4064669415
11/14/13,4994001600
11/17/13,5557944600
11/20/13,7149668750
11/23/13,10079469419
11/26/13,10173483145
11/29/13,13065737063
12/2/13,11974044578
12/5/13,12423144163
12/8/13,8744799022
12/11/13,10731150885
12/14/13,10482304133
12/17/13,8520552684
12/20/13,8020567500
12/23/13,7784111543
12/26/13,8943399550
12/29/13,8713093533
1/1/14,9115018220
1/4/14,10045556736
1/7/14,10607038229
1/10/14,10130861705
1/13/14,9902642685
1/16/14,10196347805
1/19/14,10232530350
1/22/14,9998543354
1/25/14,9922504800
1/28/14,9860844595
1/31/14,9899258813
2/3/14,10050226550
2/6/14,9617966650
2/9/14,8786037000
2/12/14,8262169494
2/15/14,8078031423
2/18/14,7780597426
2/21/14,7035698628
2/24/14,6779936250
2/27/14,7287458483
3/2/14,6979296116
3/5/14,8295167238
3/8/14,7606014150
3/11/14,7787355648
3/14/14,7964578727
3/17/14,7825273315
3/20/14,7397493750
3/23/14,7118715008
3/26/14,7359247288
3/29/14,6288195326
4/1/14,6037174753
4/4/14,5622022952
4/7/14,5649057226
4/10/14,5064118725
4/13/14,5119777125
4/16/14,6472815113
4/19/14,6332183310
4/22/14,6255140735
4/25/14,5827336661
4/28/14,5678844450
5/1/14,5849556162
5/4/14,5551993638
5/7/14,5690164673
5/10/14,5769316393
5/13/14,5602955328
5/16/14,5743344319
5/19/14,5709600195
5/22/14,6706644944
5/25/14,7368495625
5/28/14,7366729895
5/31/14,7965213010
6/3/14,8660592155
6/6/14,8435141763
6/9/14,8380284372
6/12/14,7950831675
6/15/14,7230054767
6/18/14,7807381180
6/21/14,7639387911
6/24/14,7576975431
6/27/14,7629370138
6/30/14,8038858000
7/3/14,8357159646
7/6/14,8240549911
7/9/14,8122404507
7/12/14,8222628582
7/15/14,8114810685
7/18/14,8209721212
7/21/14,8077594532
7/24/14,7849862761
7/27/14,7743439126
7/30/14,7501333455
8/2/14,7745258967
8/5/14,7602346578
8/8/14,7728389582
8/11/14,7600645789
8/14/14,6854912355
8/17/14,6469722234
8/20/14,6679378133
8/23/14,6640470759
8/26/14,6763841117
8/29/14,6759791170
9/1/14,6377861181
9/4/14,6428625750
9/7/14,6363240583
9/10/14,6426974895
9/13/14,6364467156
9/16/14,6212863800
9/19/14,5300749488
9/22/14,5333585348
9/25/14,5432891464
9/28/14,5063025000
10/1/14,5137430974
10/4/14,4484062800
10/7/14,4417374855
10/10/14,4798872497
10/13/14,5103763143
